iter	MultiClass
0	1.229947628
1	0.9664258772
2	0.7923703915
3	0.6774421629
4	0.5928689341
5	0.5213058814
6	0.466506372
7	0.4259155545
8	0.393602017
9	0.368165627
10	0.3434332411
11	0.3255665876
12	0.3109851298
13	0.2961161928
14	0.2852186906
15	0.2767459051
16	0.2670234187
17	0.259015773
18	0.2517172456
19	0.2450334225
20	0.2399562792
21	0.2349009166
22	0.2314893377
23	0.2271548736
24	0.2231707724
25	0.219728089
26	0.2166142837
27	0.2137716554
28	0.2114342178
29	0.2096527138
30	0.2078087384
31	0.2055655622
32	0.2033658513
33	0.2015250694
34	0.1994553811
35	0.1974061537
36	0.195338715
37	0.1938576095
38	0.1917692309
39	0.190339293
40	0.1890794482
41	0.1878107986
42	0.1867124645
43	0.1855671078
44	0.1844553056
45	0.1838817363
46	0.1829246233
47	0.1823122828
48	0.1815277133
49	0.1804706072
50	0.1795087405
51	0.1783016706
52	0.1773820568
53	0.1761576857
54	0.1752901252
55	0.1745525511
56	0.1735921223
57	0.1725059429
58	0.1711809328
59	0.1705949765
60	0.1694282979
61	0.1684920387
62	0.1676192965
63	0.1665283401
64	0.1658481478
65	0.1651880434
66	0.1647809065
67	0.1643415583
68	0.1637409729
69	0.1632067704
70	0.1622226329
71	0.1613051724
72	0.1606077474
73	0.1599713335
74	0.1594407756
75	0.1591131601
76	0.1585001223
77	0.157856407
78	0.1573965367
79	0.1569075
80	0.156182705
81	0.1555871911
82	0.154875982
83	0.154289524
84	0.1538217497
85	0.1530658896
86	0.1527326104
87	0.1521892997
88	0.151861832
89	0.1513904727
90	0.1505648478
91	0.1500631571
92	0.1497221361
93	0.1492857374
94	0.1486530865
95	0.1480259061
96	0.1474543816
97	0.1470479565
98	0.1466673483
99	0.146391433
100	0.1457394103
101	0.1453514296
102	0.1450828871
103	0.14470432
104	0.1442662594
105	0.1436884426
106	0.1431602355
107	0.1426572376
108	0.1421070121
109	0.1417841842
110	0.1411646998
111	0.1408040373
112	0.1404484457
113	0.1400299226
114	0.1395024212
115	0.1392247303
116	0.138763063
117	0.1385005877
118	0.1379734861
119	0.1376763461
120	0.1373369296
121	0.1368559906
122	0.1365211973
123	0.1360750441
124	0.1357339579
125	0.1353336381
126	0.1349025639
127	0.134524413
128	0.1340240844
129	0.1336623762
130	0.1330783142
131	0.132775657
132	0.132377839
133	0.1318639504
134	0.1316230441
135	0.1312784389
136	0.1308996679
137	0.1306284225
138	0.130289328
139	0.1300159802
140	0.1298247777
141	0.1295155754
142	0.1289585599
143	0.1285044043
144	0.1281640023
145	0.1278115824
146	0.1273797347
147	0.1269406357
148	0.1265748282
149	0.1262135775
150	0.1258766749
151	0.1255020461
152	0.1252542285
153	0.1249623865
154	0.124630052
155	0.1241639505
156	0.123905672
157	0.1234774048
158	0.1231688764
159	0.1226743392
160	0.1222758139
161	0.1220780759
162	0.1216260023
163	0.1213929997
164	0.1209467036
165	0.1207150614
166	0.1203266922
167	0.1199598517
168	0.1197131466
169	0.1190469595
170	0.1188797992
171	0.1186706747
172	0.1182842207
173	0.1180577048
174	0.1177435953
175	0.1173669703
176	0.1172017493
177	0.1170030055
178	0.1166172092
179	0.1161998209
180	0.1156188679
181	0.1154422357
182	0.1153100978
183	0.115153836
184	0.1148935026
185	0.114612849
186	0.1142874335
187	0.1137460854
188	0.1135441211
189	0.1132715306
190	0.1129719197
191	0.1126840857
192	0.1124354631
193	0.112151466
194	0.1117857307
195	0.1114220483
196	0.1111389753
197	0.1108816524
198	0.1106653763
199	0.1103940616
200	0.110109764
201	0.1098864348
202	0.1097421405
203	0.1094166704
204	0.1090285989
205	0.1088194037
206	0.1084715473
207	0.1080835388
208	0.1078665622
209	0.1073770828
210	0.1071335923
211	0.1069129953
212	0.10680385
213	0.1064050729
214	0.1061125606
215	0.1056360453
216	0.1053997495
217	0.1051889893
218	0.1050097934
219	0.1047838423
220	0.1046091002
221	0.1042924244
222	0.1038013295
223	0.1036261305
224	0.1033665397
225	0.1031490198
226	0.1028985268
227	0.1026780655
228	0.1023371132
229	0.1021901984
230	0.1019015103
231	0.1015849233
232	0.1012419644
233	0.1010171436
234	0.1006685917
235	0.1005403763
236	0.1002820272
237	0.1000003011
238	0.09978314283
239	0.09961173027
240	0.09932414785
241	0.09905213376
242	0.09867388526
243	0.09834018205
244	0.09812778914
245	0.09781411599
246	0.09760728391
247	0.09743620374
248	0.09737081018
249	0.09716103262
250	0.09694234114
251	0.09671124075
252	0.09651424867
253	0.09627949878
254	0.09606485996
255	0.09583392979
256	0.09564297342
257	0.09543865567
258	0.09526692996
259	0.09506319195
260	0.09488774727
261	0.09469350247
262	0.09436615312
263	0.09425030371
264	0.09407301607
265	0.09381062636
266	0.09354796403
267	0.09338582257
268	0.09325829127
269	0.09304918155
270	0.09271023654
271	0.09241459109
272	0.09224374153
273	0.09199023408
274	0.09185360898
275	0.09168667798
276	0.0913440128
277	0.09117937364
278	0.09101424744
279	0.09089618267
280	0.09076923274
281	0.09056578514
282	0.09032950589
283	0.0901750825
284	0.09000217014
285	0.08963308353
286	0.08933955999
287	0.08904334961
288	0.08889728787
289	0.08873227845
290	0.08850192032
291	0.08833528749
292	0.08829074552
293	0.08808122832
294	0.08800213121
295	0.08783204535
296	0.08766929299
297	0.08757695894
298	0.08744534237
299	0.08707356573
