iter	Passed	Remaining
0	36	10824
1	63	9516
2	85	8476
3	110	8184
4	134	7921
5	157	7711
6	182	7642
7	205	7497
8	229	7420
9	251	7292
10	276	7259
11	299	7186
12	320	7074
13	346	7084
14	370	7041
15	393	6986
16	415	6924
17	439	6888
18	464	6862
19	485	6795
20	510	6775
21	532	6727
22	553	6671
23	578	6655
24	601	6617
25	623	6571
26	646	6539
27	680	6607
28	707	6613
29	735	6622
30	766	6655
31	795	6662
32	820	6641
33	849	6647
34	878	6654
35	911	6681
36	940	6682
37	967	6668
38	995	6665
39	1025	6665
40	1062	6710
41	1084	6658
42	1116	6674
43	1143	6650
44	1167	6613
45	1190	6576
46	1212	6526
47	1239	6506
48	1265	6480
49	1291	6459
50	1313	6413
51	1341	6399
52	1364	6357
53	1388	6325
54	1410	6281
55	1433	6247
56	1457	6214
57	1478	6170
58	1505	6148
59	1527	6108
60	1552	6080
61	1573	6040
62	1595	6003
63	1639	6047
64	1663	6015
65	1686	5978
66	1708	5940
67	1732	5909
68	1804	6041
69	1834	6028
70	1857	5990
71	1879	5950
72	1904	5923
73	1928	5888
74	1952	5857
75	1973	5816
76	1997	5783
77	2020	5750
78	2042	5714
79	2068	5688
80	2092	5656
81	2116	5627
82	2139	5593
83	2163	5562
84	2186	5530
85	2207	5493
86	2232	5465
87	2254	5430
88	2274	5393
89	2301	5369
90	2323	5336
91	2347	5307
92	2370	5275
93	2391	5241
94	2415	5211
95	2437	5179
96	2462	5153
97	2484	5121
98	2506	5089
99	2530	5060
100	2553	5030
101	2574	4996
102	2597	4968
103	2620	4938
104	2640	4904
105	2664	4876
106	2687	4847
107	2708	4814
108	2733	4789
109	2756	4761
110	2781	4736
111	2803	4705
112	2829	4682
113	2853	4655
114	2875	4625
115	2898	4598
116	2919	4566
117	2940	4535
118	2967	4513
119	2989	4484
120	3012	4457
121	3033	4426
122	3058	4401
123	3083	4376
124	3103	4345
125	3127	4319
126	3150	4292
127	3173	4263
128	3200	4242
129	3222	4213
130	3244	4186
131	3267	4158
132	3294	4136
133	3317	4109
134	3338	4080
135	3363	4056
136	3387	4030
137	3407	4000
138	3430	3972
139	3454	3947
140	3477	3921
141	3499	3893
142	3525	3871
143	3556	3852
144	3583	3830
145	3611	3809
146	3636	3784
147	3666	3765
148	3698	3747
149	3724	3724
150	3745	3696
151	3766	3666
152	3790	3642
153	3813	3615
154	3833	3586
155	3858	3561
156	3880	3534
157	3902	3507
158	3927	3483
159	3952	3458
160	3975	3432
161	3996	3404
162	4018	3377
163	4042	3351
164	4064	3325
165	4085	3297
166	4108	3272
167	4129	3244
168	4152	3219
169	4176	3194
170	4198	3166
171	4223	3142
172	4246	3117
173	4269	3091
174	4294	3067
175	4317	3041
176	4342	3017
177	4363	2990
178	4388	2966
179	4411	2940
180	4431	2913
181	4456	2889
182	4478	2863
183	4499	2836
184	4524	2812
185	4546	2786
186	4567	2759
187	4591	2735
188	4613	2709
189	4634	2682
190	4658	2658
191	4681	2633
192	4706	2609
193	4728	2583
194	4752	2559
195	4774	2533
196	4796	2507
197	4820	2483
198	4841	2457
199	4860	2430
200	4885	2406
201	4907	2381
202	4928	2355
203	4955	2331
204	4980	2307
205	5005	2283
206	5026	2258
207	5050	2234
208	5074	2209
209	5095	2183
210	5120	2159
211	5141	2134
212	5165	2109
213	5190	2086
214	5213	2061
215	5235	2035
216	5256	2010
217	5279	1986
218	5303	1961
219	5325	1936
220	5348	1911
221	5369	1886
222	5391	1861
223	5417	1838
224	5438	1812
225	5458	1787
226	5482	1763
227	5506	1738
228	5527	1713
229	5553	1690
230	5576	1665
231	5600	1641
232	5621	1616
233	5644	1592
234	5666	1567
235	5688	1542
236	5711	1518
237	5735	1494
238	5756	1469
239	5780	1445
240	5802	1420
241	5824	1395
242	5848	1371
243	5872	1347
244	5894	1323
245	5918	1299
246	5941	1274
247	5971	1252
248	5994	1227
249	6021	1204
250	6046	1180
251	6067	1155
252	6088	1131
253	6114	1107
254	6136	1082
255	6157	1058
256	6184	1034
257	6207	1010
258	6232	986
259	6253	962
260	6279	938
261	6303	914
262	6323	889
263	6348	865
264	6371	841
265	6392	817
266	6417	793
267	6441	769
268	6463	744
269	6485	720
270	6508	696
271	6533	672
272	6552	648
273	6576	624
274	6597	599
275	6619	575
276	6643	551
277	6665	527
278	6686	503
279	6712	479
280	6734	455
281	6756	431
282	6781	407
283	6801	383
284	6821	359
285	6847	335
286	6870	311
287	6893	287
288	6915	263
289	6938	239
290	6961	215
291	6981	191
292	7002	167
293	7026	143
294	7048	119
295	7070	95
296	7093	71
297	7115	47
298	7138	23
299	7162	0
